	
CREATE TABLE 'database_1' (data TEXT, id_marca INTEGER, vendas INTEGER, valor_do_veiculo INTEGER, nome TEXT);	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '1', '40', '29000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '5', '10', '14000', 'Corolla');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '6', '1', '22000', 'March');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '7', '3', '300000', 'L200');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '2', '6', '60000', 'Saveiro');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '9', '4', '45000', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '10', '1', '12000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '11', '4', '32000', 'Clio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '1', '20', '34000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '2', '21', '45000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '3', '18', '35000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '4', '1', '19000', '307');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '5', '4', '120000', 'Corolla');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '6', '2', '30000', 'March');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '7', '3', '70000', 'Lancer');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '8', '5', '240000', 'Brz');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '9', '4', '38000', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '10', '1', '10000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-09-01', '11', '1', '32000', 'Sandero');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '1', '15', '60000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '2', '17', '54000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '3', '19', '42000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '4', '6', '12000', '206');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '5', '2', '60000', 'Yaris');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '2', '2', '45000', 'Kombi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '7', '3', '80000', 'Lancer');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '8', '10', '360000', 'Forester');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '9', '1', '40000', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '10', '2', '14000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-10-01', '11', '6', '36000', 'Clio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '1', '25', '64000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '2', '26', '58000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '3', '30', '46000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '4', '15', '92000', '208');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '5', '6', '158000', 'Corolla');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '6', '3', '30000', 'March');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '1', '2', '42000', 'Uno');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '3', '1', '89000', 'Rio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '9', '5', '40000', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '10', '1', '12000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-11-01', '11', '10', '42000', 'Clio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '1', '32', '72000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '2', '24', '68000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '3', '19', '49000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '4', '1', '90000', '2008');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '5', '3', '75000', 'Yaris');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '1', '1', '15000', 'Palio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '7', '5', '280000', 'Pajero');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '8', '12', '360000', 'Forester');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '3', '2', '45000', 'Cerato');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '10', '1', '12000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-12-01', '11', '6', '52000', 'Sandero');	
	
	
